SUBTOPIC,DEFINITION,,,,,
"PA.1.7 Structured data, e.g., hierarchical organization","Data whose elements have been organized (e.g., hierarchical) into a consistent format and data structure within a defined data model such that the elements can be easily addressed, organized, and accessed in various combinations to make better use of the information (e.g., a relational database).",,,,,
PA.2.1 Data cleaning,"The process of detecting and correcting corrupt or inaccurate records in a dataset. This process involves identifying, replacing, modifying, or deleting incomplete, incorrect, inaccurate, inconsistent, irrelevant, and improperly formatted data.",,,,,
"PA.2.2 De-identification, anonymization","A process by which personal data are irreversibly altered in such a way that the person can no longer be identified directly or indirectly, either by the data controller alone or in collaboration with any other party.",,,,,
PA.2.3 Amputation and imputation,"Amputation: a process whereby some valid data points are selectively deleted from a complete dataset. Imputation: a process used to determine and assign replacement values for missing, invalid, or inconsistent data.",,,,,
PA.2.4 Aggregation,"A process used to combine datasets, typically taken collectively or in the form of a summary. Integration of data by aggregation requires data interoperability, harmonization, and mapping.",,,,,
PA.2.5 Validation and verification,Validation: the process of determining the degree to which a model is an accurate representation of the real world from the perspective of the intended uses of the model. Verification: The process of determining that a computational model accurately represents the underlying mathematical model and its solution.,,,,,
PA.2.6 Curation,"The ongoing processing and maintenance of data throughout their lifecycle to ensure long-term accessibility, sharing, and preservation. Data curation is composed of research data management and digital preservation and involves processes such as the addition of metadata to make data more findable and understandable, ingestion of data into a repository, validation of file checksums and file fixity checks, and other tasks for organizing, cleaning, describing, enhancing, storing, and preserving data.",,,,,
PA.2.7 Normalization of metadata,The adjustment of metadata elements into standard formats.,,,,,
PA.3.1 Manual,"Collection, organization, and transformation of data by a human without using a machine or any other tool.",,,,,
PA.3.2 Exploratory,"Techniques that typically use visual tools to, e.g., determine the main characteristics of datasets, find relationships among datasets or variables that may have been unknown or overlooked, and discern trends or differences among datasets.",,,,,
PA.3.3 Descriptive,"Techniques for answering the question, ""What happened?"", e.g., identification of trends and relationships using current and historical (past) data.",,,,,
PA.3.4 Diagnostic,"Techniques for answering the question, ""Why did this happen?"", e.g., determination of the causes of trends and correlations among datasets or variables.",,,,,
PA.3.5 Evaluative,"Techniques for systematic determination of merit, worth, value, or significance of datasets, e.g., relevance to the project objectives.",,,,,
PA.3.6 Predictive,"Techniques for answering the question, ""What might happen in the future?"", e.g., making assumptions about the future using historical data, either manually or with machine-learning algorithms.",,,,,
PA.3.7 Prescriptive ,"Techniques for answering the question, ""What should we do next?"", e.g., informing an optimal course of action, decisions, and strategies, often via machine learning.",,,,,
PA.3.8 Correlational,"Techniques that provide a statistical measure indicating how strongly two variables are related and whether that relationship is positive (e.g., when one variable increases, the other also increases) or negative (e.g., when one variable increases, the other decreases).",,,,,
PA.3.9 Statistical ,"Techniques whereby data are interpreted to uncover patterns and trends. The five basic statistical techniques are mean, standard deviation, regression, hypothesis testing, and sample size determination.",,,,,
"PA.3.10 Automated, autonomous","Techniques that require no human guidance or direct intervention and are based solely on machines, e.g., self-driving vehicles.",,,,,
PA.4.1 Visualization,"Techniques for the representation of data (e.g., graphs, images, and diagrams). Transformation of numerical data into a visual or pictorial context in order to assist users in better understanding what the data mean.",,,,,
"PA.4.2 ML, AI","Machine learning (ML) is a methodology that uses statistics and mathematical models to detect patterns in historical data and learning algorithms to make predictions about new data. Artificial intelligence (AI) is a field of study in which computerized systems can learn, solve problems, and autonomously achieve goals under varying (and sometimes uncertain) conditions. ML is a subset of AI strategies.",,,,,
PA.4.3 Iterative model fitting,A technique whereby the parameters of a model are adjusted in repeated cycles to improve accuracy of the computation.,,,,,
"PA.4.4 Integrated development environments, e.g., Jupyter, RStudio","An application that facilitates application development, typically via a graphical user interface (GUI)-based workbench designed to build software applications in combination with all the required tools, e.g., Jupyter and Rstudio. Common features include, e.g., debugging, version control, and data structure browsing.",,,,,
PA.5.1 Types of metadata,"The three main categories or classifications of metadata are descriptive, structural, and administrative.",,,,,
PA.5.2 Responsible parties,"Individuals whose duties or job functions include the management of metadata, e.g., data owner or metadata steward.",,,,,
PA.5.3 Specification of metadata standards ,"Identification and description of those metadata standards categorized as four types: format/technical interchange, structure, content, and value. Standards include recommended practices, classifications, test methods, and guides.",,,,,
PA.5.4 Linked data structure,"A deliberate design for the organization of data (structure) wherein information (metadata) is brought together from different sources (linked) in order to create a new, richer dataset.",,,,,
"PA.5.5 Persistent identifiers (e.g., DOI, ORCID, ARK, ROR, PIDINST, Handles)","A unique and long-lasting reference that allows for continued access to an entity (e.g., document, dataset, instrument, webpage, contributor, and organization). A persistent identifier (PID) may be connected to a set of metadata describing an object rather than to the object itself. Examples of PIDs include DOI, ORCID, ARK, ROR, PIDINST, and Handles.",,,,,
PA.6.1 Original authoritative copy,"The single, distinct, absolute version of a dataset from the originating source that is unique, identifiable, and unalterable without detection. It should be sufficient to allow a third party to reproduce the results of the research.",,,,,
PA.6.2 Version identification,"For a specific time, definitive determination of a previous dataset made possible by comprehensive information (e.g., raw data, computer code, software, and documentation) on that dataset. Such an ability to revert to previous versions is critical for data traceability, tracking edits, and correcting mistakes.",,,,,
PA.6.3 Derivative product,"Any data, publication, illustration or visualization, or other work that rearranges, presents, or otherwise makes use of an existing dataset.",,,,,
PA.6.4 Aggregation,"A process used to combine datasets, typically resulting in a collection or summary.",,,,,
PA.6.5 Subset,A portion of a dataset that is referentially intact.,,,,,
PA.6.6 Timestamp,Temporal information regarding an event that is recorded by a computer and then stored as a log or metadata.,,,,,
PA.6.7 CRediT taxonomy,"Contributor Roles Taxonomy (CRediT) consists of a high-level taxonomy, including 14 roles, that can be used to represent the roles typically played by contributors to research outputs.",,,,,
PA.7.1 Commercial vs custom,"Commercial software is any software or program designed and developed for licensing or sale to end-users or for serving a commercial purpose (e.g., off-the-shelf programs and games). Custom software is made for an individual or organization and performs tasks specific to their needs.",,,,,
PA.7.2 Open-source vs proprietary,"Open source typically refers to software that is freely distributed with source code that can modified by users and modified versions may be redistributed. Proprietary typically refers to software that is copyrighted and bears limits against use, distribution, and modification that are imposed by its publisher, vendor or developer. The software remains the property of its owner/creator and is used by end-users/organizations under predefined conditions.",,,,,
PA.7.3 Aggregation tools,Software or programs that enable the combination of datasets.,,,,,
PA.7.4 Surveying tools,Software or programs that aid in the gathering of responses to questions aimed at extracting specific data from a particular group.,,,,,
PA.7.5 Statistical tools,"Software or programs used in statistics, i.e., the collection, organization, analysis, interpretation, and presentation of masses of data.",,,,,
PA.7.6 Calculation and analysis tools,"Software or programs that produce knowledge from organized data to draw conclusions, highlight useful information, and support decision-making.",,,,,
PA.7.7 APIs,"An Application Programming Interface (API) is a set of protocols, routines, functions and/or commands that programmers use to facilitate interactions between distinct software services.",,,,,
PA.7.8 Database management tools,"Software or programs that aggregate diverse data into a database or other consistent resource, handle different types of queries, provide security, and perform other functions.",,,,,
PA.7.9 Testing and validation tools,"Methods to determine if software or programs perform the functions for which they were designed. Software or programs that help ensure that the data sent to connected applications are complete, accurate, secure, and consistent.",,,,,
PA.7.10 Documentation,"Written information that describes the software product to the people who develop, deploy and use it, including technical manuals and online material, such as online versions of manuals and help capabilities. The term is sometimes used to refer to source information about the product discussed in design documentation, code comments, white papers and session notes.",,,,,
PA.7.11 Reproducibility and uncertainty quantification,"Reproducibility: the ability to replicate data using identical tools (e.g., documented metadata, code, methods, and instruments) employed previously by the original researchers or by other researchers without the need for any additional information or communication with the original researchers. Uncertainty quantification: assignment of a numerical value to a non-negative parameter characterizing the dispersion of the quantity values being attributed to a measurand.",,,,,
PA.7.12 Versioning and maintenance,"The process of numbering different releases of a particular software program for both internal use and release designation. This process allows programmers to know when changes have been made and track changes enforced in the software. At the same time, it enables potential customers to be acquainted with new releases and recognize the updated versions.",,,,,
PA.7.13 Systems resilience and adaptability,"Resilience: the ability of a software system to continue to operate under adverse conditions while maintaining essential operational capabilities, and to recover to an effective operational state in an acceptable time frame. Adaptability: the ability of a software system to tolerate changes in its environment without external intervention.",,,,,
PA.7.14 Source code repository,"A storage location for source code (the fundamental component of a computer program) that holds code, makes code available for use, and organizes code in a logical manner.",,,,,
PA.7.15 Security and software updates,"Patch, upgrade, or other modification to code that corrects security and/or functionality problems in software.",,,,,
"PA.7.16 Standards, protocols, and interfaces ","Standards: codes, programs, and associated documentation that describe how data should be stored or exchanged for the consistent collection and interoperability of that data across different systems, sources, and users. Protocols: sets of rules and guidelines. Interfaces: programs that allow a user to interact with computers in person or over a network, or the controls used in a program that allow the user to interact with the program.",,,,,
PA.8.1 LIMS,"A laboratory information management system (LIMS) is a software system developed to support laboratory operation (e.g., track specimens, collect and annotate data and workflows, and aggregate datasets).",,,,,
"PA.8.2 Laboratory notebooks, e.g., electronic and paper","A complete, detailed record of the hardware, software, procedures, materials, observations, and relevant thought processes for the research that would enable the work and resulting data to be reproducible. This typically includes an explanation of why the research was done, including any necessary background and references, how the research was performed, the actual data (raw and processed), and where the data are stored. Laboratory notebooks may be paper or electronic.",,,,,
PA.8.3 Tools for automated metadata capture,"Software, hardware, and methods used to collect and record data about data without the need for manual instruction.",,,,,
PA.8.4 Anomaly detection and correction tools,"Software, hardware, and methods used to identify items (e.g., operations, observations, events, and results), that do not conform to the expected pattern or result (i.e., anomaly detection) and to restore such items to the expected pattern or result (i.e., anomaly correction).",,,,,
PA.8.5 Collaboration tools,"Software and/or software systems that enable communication and sharing of documents, data, analyses, and/or visualizations amongst individuals who are not co-located.",,,,,
PA.8.6 Decisions regarding the need for additional data,Conclusions by researchers that more data are needed to accomplish project goals.,,,,,
PA.8.7 Process monitoring and evaluation,Periodic tracking of the operation and results of a workflow component by systematically gathering and analyzing data to assure that the component is functioning properly.,,,,,
PA.8.8 Containerization,"Operating system-level virtualization or application-level virtualization over multiple network resources so that software applications can run in isolated user spaces called containers in any cloud or non-cloud environment, regardless of type or vendor.",,,,,
PA.8.9 Reusable workflow component,"A discrete piece of software that can be compiled and packaged as an activity and reused in multiple processes, thereby reducing duplication and enabling sharing of the software with others.",,,,,
PA.8.10 Microservices,"An approach to software development in which a large application is built from modular software components (i.e., microservices), each of which does one defined job (e.g., messaging).",,,,,
PA.8.11 Distributed workflow across sites,"Computerized information system that is responsible for scheduling and synchronizing the various tasks within the workflow across physical or virtual locations, in accordance with specified task dependencies, and for sending each task to the respective processing entity.",,,,,
PA.8.12 Comprehensive report generation,"The production of a single document which includes all of the information needed to reproduce a dataset, including, e.g., methods, format standards, and software versions.",,,,,
PA.9.1 Compute requirements,"Specifications of the raw processing power of a computer to meet the needs for activities, applications, or workloads. Such power may be characterized as the rate at which operations are performed, e.g., million instructions per second (MIPS).",,,,,
PA.9.2 Storage requirements,"Specifications and needs for devices and components that store data on a long-term basis for later uses and access (e.g., hard disks and network-attached storage devices). In contrast to storage, memory is the short-term location for temporary data storage.",,,,,
PA.9.3 Network requirements,"Network capability is characterized by stability of the signal, throughput (transfer rate of data from a source system to a destination system), and bandwidth (the amount of data that can be transferred per second, in megabits/sec).",,,,,
PA.9.4 Accelerator requirements,"Specifications and needs for hardware devices...designed to improve the overall performance of the computer. Hardware acceleration is a process where applications offload certain [computing] tasks to [specialized] hardware components within the system, enabling greater performance and efficiency.",,,,,
"SUR.1.1 Repository, i.e., domain, generalist, institutional","A broad term that refers to a designated location where a collection of digital objects is stored in an organized manner such that the collection is findable, searchable, accessible, and reusable. Types of repositories include domain-specific (e.g., discipline or subject matter); generalist (a variety of data types, format, and content); and institutional (i.e., within an organization).",,,,,
SUR.1.2 Data papers,"A publication that contains datasets, without having to be at the stage of presenting further analysis and conclusions as in a traditional research paper.",,,,,
SUR.1.3 Software,"A set of instructions, data, or programs used to operate computers and execute specific tasks.",,,,,
SUR.1.4 Updates to datasets and new software versions,"To datasets: the functional process of renewing information already contained in a database or stored elsewhere that results in the creation of a new record and may result in storage of existing data as history. To software: patch, upgrade, or other modification to code that corrects functionality problems in software.",,,,,
SUR.1.5 Data linking,The process of collating and cross-referencing data from different sources in order to create a more valuable and meaningful dataset.,,,,,
SUR.1.6 Persistent identifier,"A long-lasting and unique reference to a digital object of various types (e.g., document, dataset, and webpage). Persistent identifiers (PIDs) are labels that locate, identify, and share information about digital objects. A PID may be connected to a set of metadata describing an object rather than to the object itself.",,,,,
SUR.1.7 Metadata,"Data about data, i.e., data that define and describe the characteristics of other data.",,,,,
SUR.1.8 Integrity of data,The reliability and trustworthiness of data throughout their lifecycle. The assurance that a digital object is uncorrupted and can only be accessed or modified by those authorized to do so.,,,,,
SUR.1.9 Quality measures and assessment vis-à-vis fit for purpose,"The degree to which a dataset meets the requirements for its planned usage as determined by an evaluation of quality metrics (e.g., accuracy, completeness, consistency, and timeliness).",,,,,
SUR.1.10 Peer review of datasets and metadata,An editorial process prior to publication of a dataset whereby people with a similar degree of expertise and experience as the author review and provide input on the integrity and quality of the dataset.,,,,,
SUR.1.11 Reference data/digital objects in journal articles ,"Journals have different guidelines concerning the publication of digital objects, e.g., raw data and software, that accompany a traditional article. Examples of these guidelines are depositing data in a relevant repository, citing a dataset by its PID, and linking the dataset to the article.",,,,,
SUR.1.12 Curation,"The ongoing processing and maintenance of data throughout their lifecycle to ensure long-term accessibility, sharing, and preservation. Data curation is composed of research data management and digital preservation and involves processes such as adding metadata to make data more findable and understandable, ingesting data into a repository, validating file checksums and file fixity checks, and other tasks for organizing, cleaning, describing, enhancing, storing, and preserving data.",,,,,
SUR.1.13 Publisher agreements and policies,"Legal documents that are used to dictate when and how work is published and thereby protect an author's intellectual property from unauthorized use or reproduction. Open access agreements support individual authors to publish open access data at no cost to themselves. Publisher policies are set by the publisher and include, e.g., copyright and licensing, data privacy, and rights and permissions.",,,,,
SUR.1.14 Incentives for data publishing,Staff recognition and rewards for widespread dissemination of research data.,,,,,
SUR.1.15 Mitigation of disincentives for data publishing,"Practices to remove or reduce barriers that limit dissemination of data (e.g., misinterpretation and misuse of data by others, and lack of recognition and effort for sharing).",,,,,
SU2.1.1 Traditional journal article,"A scholarly manuscript submitted to a journal that undergoes a peer review process, an editing and copy-editing process, and finally distribution by publishers able to print and make high-quality scholarly works available to the world. Such manuscripts typically contain analysis and conclusions, but not digital data objects, e.g., raw data and software.",,,,,
SU2.1.2 Supplementary material,"Peer-reviewed material directly relevant to the conclusions of a manuscript that cannot be included in the printed version for reasons of space or medium (e.g., video clips or sound files).",,,,,
SU2.1.3 On request,"Making data available in response to queries typically sent by email. The requester may be required to complete a form, e.g., a data release application agreement.",,,,,
SU2.1.4 Data landing page,"A standalone web page that a person accesses after clicking on a link from an email, ad, or other digital location. For a dataset, such a web page typically includes a narrative description of the dataset and files or links to files pertaining to the dataset, e.g., the dataset itself and the software used to generate the dataset.",,,,,
SU2.1.5 Workflow,"A depiction of a sequence of connected operations or steps that illustrates how data flows through a research data management infrastructure. A workflow includes tasks, people involved, tools (e.g., hardware and software), input, and output for each step.",,,,,
"SU2.1.6 Mainstream media, e.g., newspapers, radio","Traditional means of communication, such as newspapers, television, and radio, that may potentially influence large numbers of people.",,,,,
"SU2.1.7 Social media, e.g., Twitter, Instagram","A catch-all term for a variety of internet applications that allow users to create content and interact with each other, e.g, Twitter, Instagram, Facebook, and Linked-In.",,,,,
SUR.3.1 Citation metrics,"Measures based on the number of times a single entity (e.g., article and dataset) published by a researcher is mentioned in the published work of other authors. Indicator of the quality or importance of a published entity. Citation data are available from citation databases, discipline-specific databases, and through an emerging range of alternative metrics.",,,,,
SUR.3.2 Citation impact,"Quantitative and qualitative tools and methods to measure the impact of an individual's collective work. Quantitative tools include: citation analysis—counting the number of times other authors mention a researcher's published works; the impact factors (IFs) of the journals in which a researcher has published their work (IF is the frequency with which the average article in a journal has been cited in a particular year); and the h-Index for a researcher, which is based on the set of the researcher's most cited papers and the number of citations those papers have received in other authors' publications. Qualitative methods to measure impact include anecdotal evidence.",,,,,
SUR.3.3 Dataset citation,"The practice of referencing data products used in research (e.g., a DOI or key descriptive information about the data, such as the title, source, and responsible parties). Data citation, like the citation of other evidence and sources, is good research practice and is part of the scholarly ecosystem supporting data reuse. (See the Joint Declaration of Data Citation Principles.)",,,,,
SUR.3.4 Provenance,"The historical, attributed, and documented record of a data asset that contains details on its origin—where, when, how, and by whom it was generated/acquired/processed—and on all alterations to the data asset.",,,,,
SUR.3.5 Author identity management,"Use of a persistent, unique, digital researcher identifier such as ORCID to, e.g., track the scholarly outputs of a researcher, assign appropriate author credit, and eliminate author name ambiguity.",,,,,
SUR.3.6 Use of persistent identifiers,The practice of assigning a unique and long-lasting reference that allows for continued access to a data asset.,,,,,
SUR.3.7 Versioning,"The process of numbering different releases of a data asset (e.g., software program and database); the use and management of multiple versions of a document. Version control allows for the ability to revert to a previous revision, which is critical for data traceability, tracking edits, and correcting mistakes.",,,,,
SUR.4.1 Standardized formats,The organization of information according to preset specifications that are agreed upon by formal standards bodies or informal community groups.,,,,,
SUR.4.2 Interoperability tools,"Methods that provide the capability to seamlessly communicate, execute programs, or transfer data among various functional components in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those components.",,,,,
SUR.4.3 Discovery platform,Software systems that use metadata to identify and recommend sources of data or other digital objects.,,,,,
SUR.4.4 Catalog,"Completely organized services that enable any user, e.g., analysts, data scientists and developers, to discover, explore, and use data assets.",,,,,
SUR.4.5 Registries of repositories,"Databases containing information about trusted repositories that are provided by the repository managers and are useful for human and machine users, e.g., the Re3data Repository Registry and the NIST Materials Resource Registry.",,,,,
SUR.5.1 Internal access,"The ability of individuals in an organization to view and retrieve data and other digital objects that were generated, collected, or processed by an individual or group in the same organization.",,,,,
SUR.5.2 External access,"The ability of individuals in organizations other than the organization that generated, collected, or processed the data and other digital objects to view and retrieve such digital resources.",,,,,
"SUR.5.3 Programmatic access, i.e., API","The ability of a user to view and retrieve data made possible by an Application Programming Interface (API), which is a set of protocols, routines, functions and/or commands that programmers use to facilitate interaction between distinct software services.",,,,,
SUR.5.4 Virtual and physical enclaves,"Secure networks through which confidential data, such as personally identifiable information from census data, can be stored and disseminated. In a virtual data enclave a researcher can access data from their own computer but cannot download or remove the data from the remote server. Higher security data can be accessed through a physical data enclave wherein a researcher is required to access data from a monitored room where the data are stored on non-networked computers.",,,,,
SUR.5.5 Access vs visiting,"Data visiting is an approach whereby sensitive data stays under the control of the owner and consumers (e.g., analysts or machine learning algorithms) are permitted to work with the data on location. With data access, users can store, retrieve, move, or manipulate stored data.",,,,,
SUR.5.6 Availability statement,"A declaration letting a user know where and how to access data that support the results and analyses of a published study. A declaration may include links to publicly accessible datasets that were analyzed or generated during the study, descriptions of what data are available and/or information on how to access data that are not publicly available.",,,,,
SUR.5.7 Mitigation of barriers and economic constraints,Practices that reduce or eliminate programmatic and administrative constraints and transactional costs of accessing data.,,,,,
SUR.6.1 Ownership,"The act of having legal rights and complete control over data assets. Ownership defines and provides information about the rightful owner of data assets and the acquisition, use, and distribution policy implemented by the data owner.",,,,,
"SUR.6.2 Encouragement and support for sharing, use, and reuse",Incentives and human and infrastructural resources that increase the quantity and quality of data assets for access and dissemination.,,,,,
SUR.6.3 Indigeneous data rights,"Indigenous data sovereignty (IDS) refers to the right of Indigenous peoples to govern the collection, ownership, and application of data about Indigenous communities, peoples, lands, and resources. IDS encompasses data, information, and knowledge about Indigenous individuals, collectives, entities, lifeways, cultures, lands, and resources.",,,,,
SUR.6.4 Intellectual property rights/restrictions,"Intellectual property (IP) is something of value (an asset) that is created from an original idea, invention, or creative expression. IP rights are legally enforceable claims for owners of such items, including data products (e.g., software). An IP agreement must include an assessment of what IP rights subsist in the data, who owns them, what exceptions or limitations apply, and any contractual rights or policies related to IP that should be considered within the data governance framework, including acquired and generated data as well as “background” (i.e., pre-existing) and “foreground” (i.e., from original research) IP.",,,,,
SUR.6.5 Usage agreements/terms/licenses and required permissions,Usage agreements: legally binding contracts between an originator of a digital object and a user of the object that spell out the rights and responsibilities of all involved parties. User licenses: written contracts that give a user permission to work on another party's digital object under a certain set of conditions and typically requires that the user pay a royalty fee.,,,,,
SUR.6.6 Data sharing agreements and licensing,Sharing agreements: formal contracts that detail what data are being shared and the appropriate use of the data and include provisions concerning access and dissemination. Licensing agreements: documents that describe what kind of data are being shared with a user and clearly state the purpose and duration of access being provided to the user along with restrictions and security protocols that the user of the data must follow.,,,,,
SUR.6.7 Service-level agreements,Contracts between two parties that define and measure the level of service a data provider will deliver to a user. The agreements aim to define expectations of the level of service and quality between data providers and users.,,,,,
SUR.6.8 Terms of service ,Legal agreements between a data service provider and a user that detail the set of rules and regulations a provider attaches to a software service or web-delivered product.,,,,,
"SUR.6.9 Standardized, machine-actionable license documents","Written contracts in a common, agreed-upon form that can be read, understood, and implemented by a computer. Such contracts give a user permission to use a creator's digital object under a certain set of conditions.",,,,,
SUR.6.10 Citation requirements,"References to data and other digital objects that are mandated by a data provider, formal agreement, or publishing entity.",,,,,
SUR.7.1 Unclassified but sensitive information,"A designation of information (data) in the US federal government that is not classified for national security reasons, but that warrants or requires administrative control and protection from public or other unauthorized disclosure for other reasons. Personally identifiable information (PII), e.g., an individual's birthdate, address, and phone number, and Business Identifiable Information (BII), e.g., trade secrets and financial information, fit this designation. The US government uses the term “controlled unclassified information (CUI).""",,,,,
SUR.7.2 Security classification,"A term typically associated with U.S. federal government national security information. NIST has developed a broader document that addresses security controls, defined as the safeguards or countermeasures employed within a system or an organization to protect the confidentiality, integrity, and availability of the system and its information and to manage information security risk.",,,,,
SUR.7.3 Protection of limited data/secure platforms/enclaves,"Limited data: in healthcare, a set of identifiable healthcare information that the HIPAA Privacy Rule permits covered entities to share with certain entities for research purposes if certain conditions are met. Data security platform: aggregates data protection requirements across data types, storage silos, and ecosystems to create an organization-wide data security solution. Secure data enclave: a system that allows data owners to control data access and ensure data security while facilitating approved uses of data by other parties.",,,,,
SUR.7.4 Constraints and restrictions on data use and sharing,"Technical, administrative, or legal limitations on the use and sharing of data.",,,,,
SUR.7.5 Anonymization,A process of preserving private or confidential information by deleting or encoding identifiers that link individuals and stored data.,,,,,
"SUR.8.1 Extensibility across communities, including machine-based interactions","A measure of the ability to expand a research data management architecture to enable interactions with a broad group of stakeholders and types of equipment, achieved by adding new functionality or modifying existing functionality.",,,,,
SUR.8.2 Capture of insights from ML and use of these to improve datasets for future AI applications,"Recording and retaining information obtained via computer systems that use algorithms and statistical models to enable understanding of complex problems, and employing such understanding to develop enhanced datasets for new AI solutions.",,,,,
SUR.8.3 Capture of data performance characteristics,"Recording and retaining information concerning the quality attributes of a dataset, e.g., validity, accuracy, completeness, relevance, uniformity and consistency.",,,,,
SUR.8.4 Location of data,"Methods whereby, and systems and devices wherein, data are saved and from which data can be retrieved, e.g., on premises, cloud, temporary cache, and removable media.",,,,,
SUR.8.5 Migration strategies and mitigation against data loss,"Approaches and practices to eliminate, prevent, or reduce the intentional or unintentional destruction or disappearance of information caused by people, processes, or other means.",,,,,
SUR.8.6 Economic impact of reuse,Monetary benefits of using existing data compared to re-generating identical data.,,,,,
PD.1.1 Use,"Instances wherein datasets are utilized for meaningful purposes, e.g., problem-solving and decision-making.",,,,,
PD.1.2 Impact,"Demonstrated, positive outcomes attributed to use of a dataset, e.g., a scientific discovery and a new measurement instrument or product.",,,,,
PD.1.3 Value,"Merit or worth of data in terms of their usefulness and fitness for purpose, e.g., to make sound, fact-based conclusions and decisions.",,,,,
PD.1.4 Uniqueness,"The quality of being unlike any other data in terms of, e.g., type and characteristics.",,,,,
PD.1.5 Cost,Financial resources required to store and preserve data.,,,,,
PD.1.6 Provenance,"The historical, attributed, and documented record of a data asset that contains details on its origin—where, when, how, and by whom it was generated/acquired/processed—and on all alterations to the data asset.",,,,,
PD.1.7 Legal and regulatory,"Requirements via contract, law, regulation, or other agreement to preserve data.",,,,,
PD.2.1 Longevity and support ,The amount of time a dataset is retained in an organization and the resources to maintain this retention.,,,,,
PD.2.2 Funding models,Approaches to build a reliable funding base that will support an organization's core research data projects and services.,,,,,
PD.2.3 Business models,Approaches to describe how an organization ensures that its research data projects and services provide value.,,,,,
PD.3.1 Media to store and preserve data,Devices and cloud services used to retain data in the short-term and long-term.,,,,,
PD.3.2 File integrity,"The process of protecting a file from unauthorized changes or environmental hazards, i.e., validation to determine if a file has been altered after its creation, curation, archiving, or other qualifying event.",,,,,
PD.3.3 Ability to do advanced searches,"Capability to narrow a query through, e.g., the use of filters that eliminate irrelevant information and enable the identification of desired content.",,,,,
PD.3.4 Backup and recovery,"Backup: the process of making copies of data or data files to use in the event the original data or data files are lost or destroyed. Recovery: the process of restoring data that have been lost, accidentally deleted, corrupted, or made inaccessible for any reason.",,,,,
PD.4.1 Roles and responsibilities ,The job functions and obligations that enable the movement of data among organizations.,,,,,
PD.4.2 Registry maintenance and curation,"The processes of harvesting, organizing, and handling a collection of data-related resources such as repositories, services, and software, to facilitate ease of user searches and retrieval of information. Examples of registries are re3data and the NIST Materials Resource Registry.",,,,,
PD.4.3 Disciplinary archives,A place to store data from a specific field of study or branch of knowledge that is important but that doesn't need to be accessed or modified frequently (if at all).,,,,,
"PD.5.1 Technical decisions, e.g., data archiving","Conclusions regarding retention and disposition of research data that are based on scientific considerations such as merit and future potential usefulness of the data, e.g., data archiving.",,,,,
PD.5.2 Administrative/policy decisions,"Conclusions regarding retention and disposition of research data that are based on logistical or operational considerations, e.g., cost of data archiving.",,,,,
PD.5.3 Deaccessioning/end-of-life,"The formal, documented removal of a data collection or dataset from its location or custody of an archive service.",,,,,
PD.5.4 Legal documents,Schedules for retention and disposition of data set by formal contracts or other agreements.,,,,,
PD.5.5 End-of-life special considerations,Any actions taken before disposition of data that has reached the end of its useful life or will no longer receive support for archiving. An example consideration is adhering to security protocols for sensitive data.,,,,,
"PD.5.6 Recognition of removed data, i.e., tombstone page","Creation of a special type of landing page (i.e., tombstone page) describing the data that have been removed and providing a full bibliographic citation, a DOI (if one has been assigned), and a statement on unavailability detailing the circumstances that led to removal of the data.",,,,,
